date,open,high,close,low,volume
2019-11-27,15.64,15.64,15.47,15.39,476170.0
2019-11-28,15.47,15.54,15.49,15.44,378016.53
2019-11-29,15.54,15.55,15.29,15.18,653866.94
2019-12-02,15.35,15.43,15.36,15.23,553877.38
2019-12-03,15.3,15.46,15.45,15.21,455418.03
2019-12-04,15.34,15.41,15.31,15.21,524545.25
2019-12-05,15.35,15.48,15.43,15.3,557084.5
2019-12-06,15.47,15.72,15.6,15.46,712615.19
2019-12-09,15.62,15.62,15.41,15.35,605992.88
2019-12-10,15.36,15.38,15.33,15.25,556383.88
2019-12-11,15.38,15.68,15.66,15.3,871505.19
2019-12-12,15.66,15.67,15.6,15.53,478998.81
2019-12-13,15.85,16.12,16.12,15.77,1053103.88
2019-12-16,16.12,16.14,16.13,15.87,787952.31
2019-12-17,16.0,16.63,16.5,15.98,1203104.88
2019-12-18,16.43,16.66,16.46,16.41,797091.38
2019-12-19,16.55,16.74,16.55,16.44,675536.81
2019-12-20,16.55,16.68,16.59,16.44,644478.38
2019-12-23,16.68,16.68,16.24,16.17,715792.75
2019-12-24,16.23,16.5,16.4,16.23,459128.41
2019-12-25,16.45,16.56,16.3,16.24,414918.0
2019-12-26,16.34,16.48,16.47,16.32,372033.84
2019-12-27,16.53,16.93,16.63,16.43,1042574.75
2019-12-30,16.46,16.63,16.57,16.1,976970.31
2019-12-31,16.57,16.63,16.45,16.31,704442.25
2020-01-02,16.65,16.95,16.87,16.55,1530231.88
2020-01-03,16.94,17.31,17.18,16.92,1116194.75
2020-01-06,17.01,17.34,17.07,16.91,862083.5
2020-01-07,17.13,17.28,17.15,16.95,728607.5
2020-01-08,17.0,17.05,16.66,16.63,847824.19
2020-01-09,16.81,16.93,16.79,16.53,1031636.62
2020-01-10,16.79,16.81,16.69,16.52,585548.44
2020-01-13,16.75,17.03,16.99,16.61,872133.38
2020-01-14,16.99,17.27,16.76,16.76,1304493.62
2020-01-15,16.79,16.86,16.52,16.45,859439.12
2020-01-16,16.52,16.57,16.33,16.2,1028104.62
2020-01-17,16.38,16.55,16.39,16.35,605436.69
2020-01-20,16.43,16.61,16.45,16.35,746074.75
2020-01-21,16.34,16.34,16.0,15.93,896603.12
2020-01-22,15.92,16.16,16.09,15.71,719464.88
2020-01-23,15.92,15.92,15.54,15.39,1100592.12
2020-02-03,13.99,14.7,13.99,13.99,2259195.0
2020-02-04,14.05,14.66,14.6,14.02,1706172.0
2020-02-05,14.59,14.89,14.63,14.32,1491380.12
2020-02-06,14.81,14.87,14.77,14.51,1185815.62
2020-02-07,14.6,14.69,14.62,14.41,924852.94
2020-02-10,14.51,14.53,14.5,14.3,1339495.25
2020-02-11,14.6,14.94,14.79,14.56,1407507.5
2020-02-12,14.79,14.82,14.77,14.6,1070503.25
2020-02-13,14.71,14.88,14.65,14.61,1013205.25
2020-02-14,14.75,15.14,15.03,14.7,1512434.75
2020-02-17,15.04,15.37,15.37,14.93,1543696.0
2020-02-18,15.33,15.33,15.2,15.01,973612.31
2020-02-19,15.1,15.37,15.24,15.08,874106.94
2020-02-20,15.27,15.62,15.59,15.1,1235444.38
2020-02-21,15.49,15.72,15.58,15.45,995071.06
2020-02-24,15.46,15.46,15.23,15.15,1191794.5
2020-02-25,15.0,15.13,15.04,14.78,1144575.0
2020-02-26,14.77,15.27,14.99,14.7,1176599.12
2020-02-27,14.96,15.15,15.11,14.89,975270.88
2020-02-28,14.85,15.04,14.5,14.46,1300644.5
